"380","N2","塗","ト","ぬ.る, まみ.れる","peindre, enduire, vernir"
"381","N1","塚","チョウ","つか","butte de terre, tombe, tertre"
"382","N2","塩","エン","しお","sel"
"383","N1","塾","ジュク","-","cours particulier, école privée"
"384","N2","境","キョウ, ケイ","さかい","frontière, région, environnement"
"385","N1","墓","ボ","はか","tombe, tombeau"
"386","N3","増","ゾウ","ふ.える, ま.す","augmenter, croître, accroissement"
"387","N1","墜","ツイ","お.ちる","tomber, s'écraser"
"388","N1","墨","ボク","すみ","encre de Chine, encre noire, pierre d'encre"
"389","N1","墳","フン","-","tombeau, tumulus"
"390","N1","墾","コン","-","défrichage"
"391","N2","壁","ヘキ","かべ","mur, paroi, barrière"
"392","N1","壇","ダン, タン","-","estrade, tribune, gradins"
"393","N1","壊","カイ, エ","こわ.す, こわ.れる, やぶ.る","casser, être cassé, détruire"
"394","N1","壌","ジョウ","つち","parcelle de terrain, sol"
"395","N1","士","シ","-","samuraï, guerrier"
"396","N1","壮","ソウ","さかん","prospérité, robuste, grandiose"
"397","N4","声","セイ, ショウ","こえ","voix"
"398","N1","壱","イチ, イツ","ひとつ","un, 1"
"399","N4","売","バイ","う.る","vendre"
"400","N3","変","ヘン","か.わる","étrange, bizarre, changer"
"401","N4","夏","カ","なつ","été"
"402","N4","夕","セキ","ゆう","soir, soirée"
"403","N5","外","ガイ","そと, はず.れ","extérieur, dehors"
"404","N5","多","タ","おお.い","nombreux, beaucoup"
"405","N4","夜","ヤ","よる","soir, soirée"
"406","N3","夢","ム, ボウ","ゆめ, ゆめ.みる","rêve, illusion"
"407","N5","大","ダイ, タイ","おお.きい","grand"
"408","N5","天","テン","あまつ, あめ","cieux, ciel, impérial"
"409","N4","太","タイ","ふと.い, ふと.る","gros, grossir"
"410","N3","夫","フ","おっと","mari, époux, homme"
"411","N2","央","オウ","-","centre, milieu"
"412","N3","失","シツ","うしな.う","erreur, faute, perdre (un objet)"
"413","N1","奇","キ","く.しき, あや.しい, めずら.しい","étrange, curieux, bizarre"
"414","N1","奈","ナ","いかん","Nara, comment ?, que ?"
"415","N1","奉","ホウ, ブ","たてまつ.る, まつ.る,ほう.ずる","obéir, suivre, dédier, consacrer, vouer, offrance"
"416","N1","奏","ソウ","かな.でる","jouer d'un instrument de musique, concert"
"417","N1","契","ケイ","ちぎ.る","promesse, serment"
"418","N1","奔","ホン","はし.る","courir, s'agiter, s'affairer"
"419","N2","奥","オウ","おく, おく.まる, くま","intérieur, cœur, épouse"
"420","N1","奨","ショウ, ソウ","すす.める","encourager, conseiller vivement"
"421","N1","奪","ダツ","うば.う","dérober, s'approprier, s'emparer"
"422","N1","奮","フン","ふる.う","excitation, stimulation, déployer son énergie"
"423","N5","女","ジョ, ニョ, ニョウ","おんな, め","femme, féminin"
"424","N1","奴","ド","やつ, やっこ","mec, type, esclave"
"425","N4","好","コウ","この.む, す.く, よ.い,い.い","bien aimé, apprécié, agréable"
